outer_fold,keyword_id,surface_form,include_core,include_main,include_extended,story_local_flag,train_df,validation_df,test_df,train_group_df,validation_group_df,test_group_df,eligible_1_1_1,eligible_10_3_3,eligible_20_5_5,eligible_group_1_1_1,eligible_group_10_3_3,eligible_group_20_5_5
0,lpw_8af2350cfd,的,true,true,true,false,418,60,118,416,60,118,true,true,true,true,true,true
0,lpw_b70bb4acc0,我,true,true,true,false,369,54,103,359,52,102,true,true,true,true,true,true
0,lpw_8b7b91e000,他,true,true,true,false,215,31,65,206,29,58,true,true,true,true,true,true
0,lpw_ccca744613,说,true,true,true,false,209,25,54,122,18,35,true,true,true,true,true,true
0,lpw_b2dd27e84f,了,true,true,true,false,183,26,53,183,26,52,true,true,true,true,true,true
0,lpw_a0c7716669,你,true,true,true,false,147,22,40,141,20,40,true,true,true,true,true,true
0,lpw_87f2a033cf,小王子,true,true,true,false,126,14,36,87,13,25,true,true,true,true,true,true
0,lpw_d409ab2ab3,这,true,true,true,false,120,17,34,115,17,33,true,true,true,true,true,true
0,lpw_b5141d3d19,是,true,true,true,false,99,14,30,98,14,27,true,true,true,true,true,true
0,lpw_2f9d9872e5,就,true,true,true,false,91,12,24,83,12,24,true,true,true,true,true,true
0,lpw_12404a0b63,在,true,true,true,false,87,12,24,86,12,24,true,true,true,true,true,true
0,lpw_74570c7270,对,true,true,true,false,76,10,22,70,10,20,true,true,true,true,true,true
0,lpw_9e5bf0d2d9,着,true,true,true,false,68,11,19,62,9,18,true,true,true,true,true,true
0,lpw_bdbd41e490,地,true,true,true,false,64,9,18,64,9,18,true,true,true,true,true,true
0,lpw_5ba1e3c0eb,会,true,true,true,false,60,8,17,60,8,17,true,true,true,true,true,true
0,lpw_e1dbc1c99f,一个,true,true,true,false,60,8,17,60,8,17,true,true,true,true,true,true
0,lpw_c1b52e0e64,什么,true,true,true,false,53,8,16,51,7,14,true,true,true,true,true,true
0,lpw_90ce0f66f0,有,true,true,true,false,55,7,15,52,7,15,true,true,true,true,true,true
0,lpw_50f5d65d57,人,true,true,true,false,52,8,15,52,8,15,true,true,true,true,true,true
0,lpw_059ab0f707,花儿,true,true,true,false,51,8,15,51,8,14,true,true,true,true,true,true
0,lpw_7e9260e925,它,true,true,true,false,51,7,14,49,7,14,true,true,true,true,true,true
0,lpw_02811cec0b,呢,true,true,true,false,48,7,15,47,7,13,true,true,true,true,true,true
0,lpw_db5ba671d2,上,true,true,true,false,49,7,14,48,7,14,true,true,true,true,true,true
0,lpw_10518f8f0a,他们,true,true,true,false,47,7,13,47,7,13,true,true,true,true,true,true
0,lpw_e71ce5deab,又,true,true,true,false,42,7,12,41,5,12,true,true,true,true,true,true
0,lpw_6d8229118c,来,true,true,true,false,41,6,11,40,6,11,true,true,true,true,true,true
0,lpw_f2b91797ea,很,true,true,true,false,39,6,11,39,6,11,true,true,true,true,true,true
0,lpw_6a9fec7faf,星星,true,true,true,false,39,6,11,39,6,11,true,true,true,true,true,true
0,lpw_ad37574404,让,true,true,true,false,37,6,11,37,6,11,true,true,true,true,true,true
0,lpw_2ab425e0c6,她,true,true,true,false,37,5,11,37,5,11,true,true,true,true,true,true
0,lpw_62f2d6c1a1,星球,true,true,true,false,37,5,11,36,5,11,true,true,true,true,true,true
0,lpw_6e55fb9d8a,给,true,true,true,false,36,5,10,35,5,10,true,true,true,true,true,true
0,lpw_5a2362a202,那,true,true,true,false,35,5,10,35,5,10,true,true,true,true,true,true
0,lpw_de9f18b00a,画,false,false,false,true,35,4,10,34,4,10,true,true,false,true,true,false
0,lpw_3a116815bc,个,false,true,true,false,34,5,9,34,5,9,true,true,true,true,true,true
0,lpw_975f35218e,要,false,true,true,false,33,5,9,33,5,9,true,true,true,true,true,true
0,lpw_658605835b,也,false,true,true,false,33,5,9,33,5,9,true,true,true,true,true,true
