protocol_version,seed,outer_fold,role,text_embedding_idx,sentence_group_id,normalized_text_sha256,chapter,story_quartile,token_count
littleprince_context_cv_v1,42,0,test,17,lptext:c8bb16adeacf52bcc2e3792835fb2fe9fda5126fe87faf2dfde6c8a2c57137d5,c8bb16adeacf52bcc2e3792835fb2fe9fda5126fe87faf2dfde6c8a2c57137d5,1,1,4
littleprince_context_cv_v1,42,0,train,18,lptext:3e1bdddf30a79154b8d6961ec36a80cb0480a58c04a813cb98178472fa090125,3e1bdddf30a79154b8d6961ec36a80cb0480a58c04a813cb98178472fa090125,1,1,12
littleprince_context_cv_v1,42,0,train,19,lptext:df457cef0a5a5a2e13c8cf830c0fbbf0a3b5bef1227056b4291dac0c7d48015e,df457cef0a5a5a2e13c8cf830c0fbbf0a3b5bef1227056b4291dac0c7d48015e,1,1,6
littleprince_context_cv_v1,42,0,train,20,lptext:06b34b07c7d8d4b63958487f15809d9262cc4df6922e27657f146669f215ae30,06b34b07c7d8d4b63958487f15809d9262cc4df6922e27657f146669f215ae30,1,1,10
littleprince_context_cv_v1,42,0,train,21,lptext:3dd0b6bf54f175a78679eab550477ffe378be636b4d02e2dab2a19deacebd145,3dd0b6bf54f175a78679eab550477ffe378be636b4d02e2dab2a19deacebd145,1,1,8
littleprince_context_cv_v1,42,0,validation,22,lptext:4afc5da363ec8581d039391c2cae6afb39990f421f8cf2871f0a4f33fe6da7dd,4afc5da363ec8581d039391c2cae6afb39990f421f8cf2871f0a4f33fe6da7dd,1,1,4
littleprince_context_cv_v1,42,0,test,23,lptext:7990a7406e5a8c29a7af8c09c1cd86322d5ce9cc385a77459f21eb287d56b956,7990a7406e5a8c29a7af8c09c1cd86322d5ce9cc385a77459f21eb287d56b956,1,1,6
littleprince_context_cv_v1,42,0,train,24,lptext:97886e476fbb5ff3d122776c7019ae4d014472ea318421d6d6091c1719b86420,97886e476fbb5ff3d122776c7019ae4d014472ea318421d6d6091c1719b86420,1,1,3
littleprince_context_cv_v1,42,0,train,25,lptext:10cbf6be82d66f6bf553bd47eee74d97c4d3c400ae32f3eeb6cfd1fe6c100daf,10cbf6be82d66f6bf553bd47eee74d97c4d3c400ae32f3eeb6cfd1fe6c100daf,1,1,5
littleprince_context_cv_v1,42,0,train,26,lptext:14370d18a0d5b4158a80799c09b9c4f5af615d88678a69c85cada50ebfc9ad7f,14370d18a0d5b4158a80799c09b9c4f5af615d88678a69c85cada50ebfc9ad7f,1,1,5
littleprince_context_cv_v1,42,0,train,27,lptext:c88d2b677c3b234754076ca9d3e4b6f85bd51eb16f213f446c9374405c4566eb,c88d2b677c3b234754076ca9d3e4b6f85bd51eb16f213f446c9374405c4566eb,1,1,1
littleprince_context_cv_v1,42,0,train,28,lptext:1f790aff86b5fd87e3c0a31b1296558170731a4207bb5468e2ef076653a56093,1f790aff86b5fd87e3c0a31b1296558170731a4207bb5468e2ef076653a56093,1,1,9
littleprince_context_cv_v1,42,0,train,29,lptext:25010acb8abdf11df0c8b5605dd3e2c50789ee1208c6c1656b7229c696414b5b,25010acb8abdf11df0c8b5605dd3e2c50789ee1208c6c1656b7229c696414b5b,1,1,12
littleprince_context_cv_v1,42,0,train,30,lptext:eb55779c41340a39e376a654ffb4b793c57927eb342984649071a9f1e63e3b11,eb55779c41340a39e376a654ffb4b793c57927eb342984649071a9f1e63e3b11,1,1,4
littleprince_context_cv_v1,42,0,validation,31,lptext:a3a60bea07052ccfd218260be507538eca4c503663906a2a5e26633e05ff2fb5,a3a60bea07052ccfd218260be507538eca4c503663906a2a5e26633e05ff2fb5,1,1,3
littleprince_context_cv_v1,42,0,validation,32,lptext:bc0b49c898d6b2f22a113081abed6252e1e3687471aaa1d0cf6802abf1d1d482,bc0b49c898d6b2f22a113081abed6252e1e3687471aaa1d0cf6802abf1d1d482,1,1,7
