word_occurrence_id,text_embedding_idx,word_position,surface_form,char_start,char_end,keyword_id,canonical_concept,semantic_categories,story_local_flag,include_core,include_main,include_extended
lp:17:word:0,17,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:17:word:1,17,1,六岁,1,3,,六岁,,,false,false,false
lp:17:word:2,17,2,那,3,4,lpw_5a2362a202,那,pronoun,false,true,true,true
lp:17:word:3,17,3,年,4,5,,年,,,false,false,false
lp:18:word:0,18,0,在,0,1,lpw_12404a0b63,在,function,false,true,true,true
lp:18:word:1,18,1,一本,1,3,,一本,,,false,false,false
lp:18:word:2,18,2,描写,3,5,,描写,,,false,false,false
lp:18:word:3,18,3,原始森林,5,9,,原始森林,,,false,false,false
lp:18:word:4,18,4,的,9,10,lpw_8af2350cfd,的,function,false,true,true,true
lp:18:word:5,18,5,名叫,10,12,,名叫,,,false,false,false
lp:18:word:6,18,6,真实,13,15,,真实,,,false,false,false
lp:18:word:7,18,7,的,15,16,lpw_8af2350cfd,的,function,false,true,true,true
lp:18:word:8,18,8,故事,16,18,,故事,,,false,false,false
lp:18:word:9,18,9,的,19,20,lpw_8af2350cfd,的,function,false,true,true,true
lp:18:word:10,18,10,书,20,21,lpw_1be968f125,书,other,false,false,false,false
lp:18:word:11,18,11,上,21,22,lpw_db5ba671d2,上,function,false,true,true,true
lp:19:word:0,19,0,看见,0,2,lpw_7205426737,看见,perception,false,false,false,true
lp:19:word:1,19,1,过,2,3,lpw_f777893480,过,other,false,false,true,true
lp:19:word:2,19,2,一幅,3,5,,一幅,,,false,false,false
lp:19:word:3,19,3,精彩,5,7,,精彩,,,false,false,false
lp:19:word:4,19,4,的,7,8,lpw_8af2350cfd,的,function,false,true,true,true
lp:19:word:5,19,5,插图,8,10,,插图,,,false,false,false
lp:20:word:0,20,0,画,0,1,lpw_de9f18b00a,画,physical_action,true,false,false,false
lp:20:word:1,20,1,的是,1,3,lpw_5e1dc2a833,的是,other,false,false,false,false
lp:20:word:2,20,2,一条,3,5,,一条,,,false,false,false
lp:20:word:3,20,3,蟒蛇,5,7,lpw_7d2bda9879,蟒蛇,other,true,false,false,false
lp:20:word:4,20,4,在,7,8,lpw_12404a0b63,在,function,false,true,true,true
lp:20:word:5,20,5,吞,8,9,,吞,,,false,false,false
lp:20:word:6,20,6,吃,9,10,lpw_c814805bc6,吃,other,true,false,false,false
lp:20:word:7,20,7,一头,10,12,,一头,,,false,false,false
lp:20:word:8,20,8,猛,12,13,,猛,,,false,false,false
lp:20:word:9,20,9,兽,13,14,,兽,,,false,false,false
lp:21:word:0,21,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:21:word:1,21,1,现在,1,3,lpw_43584f37c1,现在,other,false,false,false,false
lp:21:word:2,21,2,把,3,4,lpw_2442748e41,把,function,false,false,true,true
lp:21:word:3,21,3,它,4,5,lpw_7e9260e925,它,pronoun,false,true,true,true
lp:21:word:4,21,4,照样,5,7,,照样,,,false,false,false
lp:21:word:5,21,5,画,7,8,lpw_de9f18b00a,画,physical_action,true,false,false,false
lp:21:word:6,21,6,在,8,9,lpw_12404a0b63,在,function,false,true,true,true
lp:21:word:7,21,7,上面,9,11,,上面,,,false,false,false
lp:22:word:0,22,0,书,0,1,lpw_1be968f125,书,other,false,false,false,false
lp:22:word:1,22,1,中,1,2,lpw_a567bdaa11,中,other,false,false,false,false
